firstName,phone,email,notes
Liam,9998887776,liam@example.com,Follow up on proposal
Mia,8887776665,mia@example.com,Interested in subscription
Noah,7776665554,noah@example.com,Pending payment
Ava,6665554443,ava@example.com,Schedule demo
Ethan,5554443332,ethan@example.com,VIP client
Isabella,4443332221,isabella@example.com,Send contract
Logan,3332221110,logan@example.com,Requires feedback
Charlotte,2221110009,charlotte@example.com,New lead
Lucas,1110009998,lucas@example.com,Check documentation
Amelia,0009998887,amelia@example.com,Follow up next week
